Номер рейса,Авиакомпания,Дата прилета,Время прилета,Число пассажиров
S77633,Red Wings,2025-04-13,04:09:39,65
N4179,Rossiya,2025-06-08,18:31:03,39
FV3929,Ural Airlines,2024-04-09,08:27:10,84
DP2742,Utair,2024-03-09,15:09:50,65
S78698,Nordwind,2025-02-25,16:10:14,152
FV9028,Rossiya,2024-01-24,09:15:09,76
N42764,Rossiya,2025-09-01,13:51:39,13
WZ3950,Aeroflot,2024-11-27,19:58:16,81
U67701,Nordwind,2024-09-09,01:58:46,280
DP4575,Nordwind,2024-06-23,17:41:43,125
SU4983,Rossiya,2025-07-22,11:57:31,255
U68675,Pobeda,2025-07-02,07:24:13,192
UT9372,Utair,2025-02-04,11:37:34,73
WZ2700,Rossiya,2024-10-11,02:38:21,21
S74621,Red Wings,2024-06-03,06:49:43,238
UT7034,Red Wings,2025-08-26,23:21:15,168
S76020,Utair,2024-09-27,17:57:33,299
SU3921,S7 Airlines,2024-06-01,11:51:22,133
SU5967,Rossiya,2024-01-25,11:52:45,146
U63485,Ural Airlines,2025-02-12,20:45:26,160
WZ9860,Ural Airlines,2024-06-20,08:32:34,59
DP8653,Aeroflot,2025-01-12,07:11:30,226
SU2326,Aeroflot,2024-07-26,15:36:16,18
UT4195,S7 Airlines,2025-07-05,05:56:50,262
N46406,Utair,2025-01-22,11:32:27,274
UT970,Ural Airlines,2025-03-24,02:17:29,226
S71776,Pobeda,2024-07-11,15:18:42,256
DP3006,Nordwind,2025-09-19,04:15:47,186
U66497,Red Wings,2024-02-11,22:24:55,0
FV8193,S7 Airlines,2024-03-24,18:12:57,249
DP8785,S7 Airlines,2024-01-17,05:56:58,133
U69304,Nordwind,2025-12-22,01:36:42,139
WZ3330,Red Wings,2025-09-21,03:21:43,208
SU9823,Aeroflot,2025-12-26,12:19:39,109
U63958,Ural Airlines,2025-11-26,11:48:58,209
S77517,Red Wings,2025-01-23,11:10:18,94
DP4640,Utair,2025-05-10,03:15:51,214
FV7743,Pobeda,2025-06-24,01:17:23,28
S79380,Utair,2024-08-16,09:01:35,46
UT5628,Aeroflot,2024-08-14,09:17:00,163
WZ4232,Pobeda,2025-05-10,11:21:28,13
U69993,Nordwind,2024-05-12,07:12:08,120
N41979,Nordwind,2025-12-15,14:03:09,217
SU2540,Rossiya,2024-01-18,01:44:20,212
WZ4009,Pobeda,2025-12-19,21:13:23,255
S78440,Red Wings,2025-09-16,04:12:16,234
FV6131,Nordwind,2024-02-10,05:21:06,117
S74863,Pobeda,2025-11-14,06:34:05,146
U61766,Ural Airlines,2024-06-06,00:40:03,217
S73662,Rossiya,2025-08-19,20:43:10,268
DP5620,Ural Airlines,2024-07-01,15:44:43,17
S77860,Aeroflot,2025-06-15,03:23:15,3
WZ5314,S7 Airlines,2025-08-05,15:12:54,137
DP805,Pobeda,2025-04-12,08:36:56,297
DP6018,Pobeda,2025-03-27,03:24:46,10
UT8093,Pobeda,2025-11-01,17:58:46,0
UT1438,Rossiya,2025-09-03,11:45:13,251
DP7857,Pobeda,2025-03-01,16:18:40,298
SU6636,Ural Airlines,2024-04-27,14:18:08,38
SU469,Aeroflot,2024-07-24,09:17:00,158
U6736,Nordwind,2025-04-25,04:42:35,61
UT9422,Aeroflot,2024-12-09,18:57:09,116
WZ3985,Pobeda,2024-01-07,11:53:43,138
FV8018,Rossiya,2025-03-02,14:21:55,150
FV7073,S7 Airlines,2024-11-23,09:52:11,125
S76110,Utair,2024-01-27,16:16:48,113
DP5668,Nordwind,2024-10-01,08:15:21,285
UT8907,Ural Airlines,2025-02-26,21:09:08,143
S72348,S7 Airlines,2024-06-08,08:53:04,191
DP8792,Ural Airlines,2024-07-06,01:02:44,218
SU5851,S7 Airlines,2025-11-12,01:26:21,281
SU6870,Ural Airlines,2024-09-22,18:11:39,189
UT456,Pobeda,2024-01-01,00:29:34,39
U69405,Pobeda,2025-11-27,02:22:14,273
U63544,Pobeda,2024-10-16,00:34:37,208
SU7851,Pobeda,2024-04-26,00:12:01,246
U61988,Red Wings,2024-12-22,12:18:01,150
UT1032,Nordwind,2025-03-21,10:49:26,96
U64704,Red Wings,2025-05-02,01:32:45,176
SU3770,Nordwind,2025-01-27,07:52:11,96
SU4835,Nordwind,2024-09-24,11:33:12,23
U6548,Pobeda,2025-03-25,06:27:56,272
FV4779,Pobeda,2025-11-07,15:57:30,216
UT703,Rossiya,2025-03-05,04:08:40,62
SU5859,Ural Airlines,2024-05-14,15:09:50,160
FV5199,Aeroflot,2024-06-15,23:41:41,66
S78985,Utair,2024-08-24,16:13:10,229
WZ6629,Nordwind,2024-05-10,11:40:40,49
WZ3312,Ural Airlines,2024-08-15,17:20:00,165
FV4042,Red Wings,2024-02-22,15:53:36,283
FV9603,Pobeda,2024-10-11,13:20:31,292
UT3891,Utair,2025-02-27,16:52:37,39
UT7628,Rossiya,2025-06-25,14:36:11,255
DP5529,Utair,2025-08-04,00:40:25,52
U61994,Red Wings,2025-05-20,08:12:01,201
S7712,Rossiya,2024-01-08,15:10:05,206
DP2640,Red Wings,2025-08-07,06:46:39,118
S75330,Utair,2024-02-04,07:08:44,69
FV1498,Nordwind,2024-04-21,18:20:36,183
S73816,Nordwind,2024-07-18,17:14:46,197
WZ3367,S7 Airlines,2025-08-02,11:34:05,134
